expected_crop	source_type	file	resultType	gate	bestCrop	bestClass	is_real_field_photo	trigger_G5	trigger_G5b	trigger_G7a	trigger_uncertain	trigger_uncertain_gap	trigger_uncertain_second_crop	trigger_uncertain_entropy	trigger_uncertain_class_ratio	bestClassProb	bestCropTotal	secondCropTotal	otherLeaf	entropy	top1	top1_p	top2	top2_p	top3	top3_p
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_0_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8583070472134756	0.8583577415765732	1.4519585366189158e-07	0.14164211318628014	0.589312054987888	banana_healthy	0.8583070472134756	other_leaf	0.14164211318628014	banana_pestalotiopsis	5.069253289793829e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_107_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8760317251699673	0.8791589138492998	0.0031480119126900564	0.11769307342168688	0.5852441261241336	banana_healthy	0.8760317251699673	other_leaf	0.11769307342168688	maize_healthy	0.003147964894224507
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_108_aug.jpg	unsupported	G7a_crop_total	banana		True	False	False	True	False	False	False	False	False	0.0	0.8381126986736618	0.02198087150719694	0.13990639326392118	0.8475537610415418	banana_healthy	0.8230286748886266	other_leaf	0.13990639326392118	maize_healthy	0.021979942946052627
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_118_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8499936177198297	4.783606463057772e-08	0.1500063344238201	0.6151804991251896	banana_healthy	0.84956410543944	other_leaf	0.1500063344238201	banana_pestalotiopsis	0.0004295002011971265
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_11_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9581726376531262	0.9585391248947689	8.226803265793544e-06	0.04145264663671497	0.2537606111394652	banana_healthy	0.9581726376531262	other_leaf	0.04145264663671497	banana_pestalotiopsis	0.0003658319565764617
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_120_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.7315901847612327	7.371568278397874e-07	0.26840906302643486	0.8581460548307998	banana_healthy	0.7297020365772151	other_leaf	0.26840906302643486	banana_pestalotiopsis	0.0018879627214802377
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_130_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9329116432295361	0.9387371199670479	0.00010395748427507118	0.06115892235539976	0.38487527416442924	banana_healthy	0.9329116432295361	other_leaf	0.06115892235539976	banana_pestalotiopsis	0.00579968805744747
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_141_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8260663580782762	2.4867650599842214e-07	0.17393339323427232	0.6687416833896994	banana_healthy	0.8259138539924523	other_leaf	0.17393339323427232	banana_pestalotiopsis	0.00015248541948701303
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_144_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9934002404675059	0.9934005328940337	2.407989966756847e-07	0.0065992263050426835	0.057303041296353024	banana_healthy	0.9934002404675059	other_leaf	0.0065992263050426835	banana_pestalotiopsis	2.9240074029056325e-07
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_155_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9553172123589913	0.9554452573789136	0.002268354468807855	0.04228638814626267	0.27757248250802685	banana_healthy	0.9553172123589913	other_leaf	0.04228638814626267	maize_healthy	0.002268354322584725
